timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666527353031,1,Delete Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-19,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/8,0,0,1
1666527353032,1,Get User by ID,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-19,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/8,0,0,1
1666527355029,1,Get Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-20,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,0,0,1
1666527355031,1,Delete Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-20,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/10,0,0,1
1666527355032,1,Get User by ID,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-20,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/10,0,0,1
1666527357030,2,Get Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-21,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,0,0,1
1666527357032,1,Delete Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-21,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/2,0,0,1
1666527357034,0,Get User by ID,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-21,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/2,0,0,0
1666527359029,0,Get Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-22,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,0,0,0
1666527359031,1,Delete Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-22,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/4,0,0,1
1666527359034,0,Get User by ID,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-22,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/4,0,0,0
